row_id	course	dialogue_id	speaker	turn	id_target	id_ko	id_roman	id_note	ms_target	ms_ko	ms_roman	ms_note
l2_d11_t03	2	대화11	A	3	Cek BMKG, kemungkinan hujan sore.	BMKG 보니 오후 비.	쩩 베엠까게, 끄뭉끼난 후잔 소레.	BMKG = 인니 기상청	Cek MetMalaysia, mungkin hujan petang.	MetMalaysia 보니 오후 비.	쩩 멧 말레이시아, 뭉낀 후잔 쁘땅.	MetMalaysia = 말레이 기상청 (BMKG는 인니), petang = 오후
l2_d11_t04	2	대화11	B	4	Pagi aja deh.	아침에만.	빠기 아자 데.		Pagi je la.	아침에만.	빠기 즈 라.	
l2_d11_t05	2	대화11	A	5	Berangkat jam 7?	7시 출발?	브랑깟 잠 뚜주?		Berangkat pukul 7?	7시 출발?	브랑깟 뿌꿀 뚜주?	
l2_d11_t06	2	대화11	B	6	Tarik commuter line dari Manggarai.	Manggarai 에서 commuter.	따릭 컴뮤터 라인 다리 망가라이.	commuter line = 자카르타 통근열차	Naik KTM Komuter dari KL Sentral.	KL Sentral KTM.	나익 께띠엠 코뮤터 다리 께엘 슨트랄.	KTM Komuter = 말레이 통근열차 (commuter Manggarai는 자카르타)
l2_d11_t07	2	대화11	A	7	Tujuan Kebun Raya?	식물원 목표?	뚜주안 끄분 라야?	Kebun Raya = Bogor 식물원	Tujuan Tanah Rata?	Tanah Rata 목표?	뚜주안 따나 라따?	Tanah Rata = Cameron Highlands 중심지
l2_d11_t08	2	대화11	B	8	Iya, plus makan siang Asinan Bogor.	응 + Asinan Bogor 점심.	이야, 플러스 마깐 시앙 아시난 보고르.	Asinan Bogor = 인니 음식	Ya, plus makan tengahari kuih lapis.	응 + kuih lapis 점심.	야, 플러스 마깐 뜽아하리 꾸이 라삐스.	kuih lapis = 말레이 전통 떡 (Asinan Bogor는 인니)
l2_d11_t09	2	대화11	A	9	Mau ajak Lala?	랄라도?	마우 아작 랄라?		Nak ajak Lala?	랄라도?	낙 아작 랄라?	
l2_d11_t10	2	대화11	B	10	Boleh, Lala suka piknik.	응, Lala 피크닉 좋아.	볼레, 랄라 수까 픽닉.	piknik = 영어	Boleh, Lala suka piknik.	응, 피크닉 좋아.	볼레, 랄라 수까 픽닉.	piknik = 영어
l2_d11_t11	2	대화11	A	11	Bawa tikar + snack?	돗자리 + 스낵?	바와 띠까르 + 스낵?	tikar = 돗자리	Bawa tikar + snek?	돗자리 + 스낵?	바와 띠까르 + 스넥?	tikar = 돗자리, snek = 스낵 (말레이 철자)
l2_d11_t12	2	대화11	B	12	Aku bawa fruit + roti.	과일 + 빵.	아꾸 바와 프룻 + 로띠.	roti = 빵	Saya bawa buah + roti.	과일 + 빵.	사야 바와 부아 + 로띠.	buah = 과일, roti = 빵
l2_d11_t13	2	대화11	A	13	Mantap, Sabtu pagi!	좋다, 토요일 아침!	만땁, 삽뚜 빠기!		Best, Sabtu pagi!	좋다, 토요일!	베스, 삽뚜 빠기!	
l2_d11_t14	2	대화11	B	14	Ojek ke stasiun ya.	오토바이로 역.	오젝 끄 스따시운 야.	ojek = 인니 오토바이 택시	Grab ke stesen ya.	Grab 으로 역.	그랍 끄 스떼슨 야.	Grab = 말레이/인니 라이드앱 (ojek은 인니), stesen = 역 (말레이, stasiun은 인니)
l2_d12_t01	2	대화12	A	1	Lala, video call malam ini?	랄라, 오늘 밤 영상통화?	랄라, 비디오 콜 말람 이니?	video call = 영어	Lala, video call malam ini?	랄라, 영상통화?	랄라, 비디오 콜 말람 이니?	video call = 영어
l2_d12_t02	2	대화12	B	2	Boleh! Jam berapa?	좋아! 몇 시?	볼레! 잠 브라빠?		Boleh! Pukul berapa?	좋아! 몇 시?	볼레! 뿌꿀 브라빠?	
l2_d12_t03	2	대화12	A	3	Jam 9 malam.	밤 9시.	잠 슴빌란 말람.		Pukul 9 malam.	밤 9시.	뿌꿀 슴빌란 말람.	
l2_d12_t04	2	대화12	B	4	Pakai Zoom atau LINE?	Zoom 아님 LINE?	빠까이 줌 아따우 라인?		Pakai Zoom atau LINE?	Zoom 아님 LINE?	빠까이 줌 아따우 라인?	
l2_d12_t05	2	대화12	A	5	LINE, lebih simple.	LINE, 간단.	라인, 르비 심플.	simple = 영어	LINE, lebih simple.	LINE.	라인, 르비 심플.	simple = 영어
l2_d12_t06	2	대화12	B	6	Aku siapin wine.	와인 준비.	아꾸 시아삔 와인.	wine = 영어	Saya sediakan wine.	와인 준비.	사야 스디아깐 와인.	wine = 영어
l2_d12_t07	2	대화12	A	7	Wah, sweet sekali.	와, sweet.	와, 스윗 스깔리.		Wah, sweet sangat.	와, sweet.	와, 스윗 상앗.	
l2_d12_t08	2	대화12	B	8	Cerita banyak, sudah lama.	이야기 많이, 오래됐어.	쩨리따 바냑, 수다 라마.		Cerita ramai, dah lama.	얘기 많이.	쩨리따 라마이, 다 라마.	
