row_id	course	dialogue_id	speaker	turn	id_target	id_ko	id_roman	id_note	ms_target	ms_ko	ms_roman	ms_note
l5_d01_t09	5	대화01	A	9	Section apa target?	어느 섹션 목표?	섹션 아빠 따르겟?	target = 영어 차용	Section apa target?	어느 섹션 목표?	섹션 아빠 따르겟?	target = 영어 차용
l5_d01_t10	5	대화01	B	10	VIP Pit kalau dapat.	VIP Pit 있으면.	비아이피 핏 깔라우 다빳.	dapat = 얻다	VIP Pit kalau dapat.	VIP Pit 있으면.	비아이피 핏 깔라우 다빳.	dapat = 얻다
l5_d01_t11	5	대화01	A	11	Itu mahal banget.	엄청 비싸.	이뚜 마할 방엣.		Itu mahal gila.	엄청 비싸.	이뚜 마할 길라.	gila = 매우 (말레이 강조)
l5_d01_t12	5	대화01	B	12	Sekali seumur hidup.	인생 한 번.	스깔리 스우무르 히둡.	seumur hidup = 평생	Sekali seumur hidup.	인생 한 번.	스깔리 스우무르 히둡.	seumur hidup = 평생
l5_d01_t13	5	대화01	A	13	Oke, bismillah.	오케이, 비스밀라.	오께, 비스밀라.	bismillah = 신의 이름으로 (시작 표현)	Okay, bismillah.	오케, 비스밀라.	오케이, 비스밀라.	bismillah = 신의 이름으로 (말레이 무슬림 일상)
l5_d01_t14	5	대화01	B	14	Refresh refresh refresh!	새고새고새고!	리프레시 리프레시 리프레시!		Refresh refresh refresh!	새고새고새고!	리프레시 리프레시 리프레시!	
l5_d02_t01	5	대화02	A	1	NewJeans album baru release.	NewJeans 새 앨범 발매.	뉴진스 알붐 바루 릴리스.	release = 영어 차용	NewJeans album baru release.	NewJeans 새 앨범.	뉴진스 알붐 바루 릴리스.	release = 영어 차용
l5_d02_t02	5	대화02	B	2	Aku udah pre-order 5 versi.	5 버전 예약.	아꾸 우다 프리 오르더 리마 베르시.	pre-order = 영어 차용	Saya dah pre-order 5 versi.	5 버전 예약.	사야 다 프리 오르더 리마 베르시.	pre-order = 영어 차용
l5_d02_t03	5	대화02	A	3	Lima? Buat fansa?	5? 팬싸용?	리마? 부앗 판사?	fansa = 팬사인회 (한국어 차용)	Lima? Untuk fansa?	5? 팬싸용?	리마? 운뚝 판사?	fansa = 팬사인회 (한국어 차용)
l5_d02_t04	5	대화02	B	4	Iya, peluang menang lebih besar.	응, 당첨률 ↑.	이야, 쁠루앙 므낭 르비 브사르.	peluang = 가능성, menang = 이기다	Ya, peluang menang lebih besar.	응, 당첨률 ↑.	야, 쁠루앙 므낭 르비 브사르.	peluang = 가능성, menang = 이기다
l5_d02_t05	5	대화02	A	5	Aku cuma satu, photocard saja.	난 하나, 포카만.	아꾸 쭈마 사뚜, 포또까르드 사자.	photocard = K-pop 포토카드	Saya cuma satu, photocard je.	하나, 포카만.	사야 쭈마 사뚜, 포또까르드 즈.	photocard = K-pop 포토카드
l5_d02_t06	5	대화02	B	6	Trade card sama aku?	카드 트레이드?	트레이드 카르드 사마 아꾸?	trade = 영어 차용	Trade card dengan saya?	카드 트레이드?	트레이드 카르드 등안 사야?	trade = 영어 차용
l5_d02_t07	5	대화02	A	7	Kamu mau Hanni? Aku punya.	Hanni 원해? 가지고 있어.	까무 마우 한니? 아꾸 뿐야.		Awak nak Hanni? Saya ada.	Hanni 원해? 가지고 있어.	아왁 낙 한니? 사야 아다.	
l5_d02_t08	5	대화02	B	8	Aku mau Minji, swap?	Minji 원해, 교환?	아꾸 마우 민지, 스왑?	swap = 영어 차용	Saya nak Minji, swap?	Minji 원해, 교환?	사야 낙 민지, 스왑?	swap = 영어 차용
l5_d02_t09	5	대화02	A	9	Deal. Kapan ketemu?	딜. 언제 만나?	딜. 까빤 끄뜨무?		Deal. Bila jumpa?	딜. 언제?	딜. 빌라 줌빠?	
l5_d02_t10	5	대화02	B	10	Akhir minggu di mall.	주말 몰에서.	아키르 밍구 디 몰.	akhir minggu = 주말	Hujung minggu di mall.	주말 몰.	후중 밍구 디 몰.	hujung minggu = 주말
l5_d02_t11	5	대화02	A	11	Bawa case juga ya.	케이스도 가져와.	바와 께이스 주가 야.	bawa = 가지다	Bawa case juga ya.	케이스도 가져와.	바와 께이스 주가 야.	bawa = 가지다
l5_d02_t12	5	대화02	B	12	Pasti, jangan rusak.	꼭, 망가지면 안 돼.	빠스띠, 장안 루삭.	rusak = 망가지다	Mestilah, jangan rosak.	꼭, 망가지면 안 돼.	메스띨라, 장안 로삭.	rosak = 망가지다 (말레이 철자, rusak은 인니)
l5_d02_t13	5	대화02	A	13	Aku doain kamu menang fansa.	팬싸 당첨 기도.	아꾸 도아인 까무 므낭 판사.	doain = 기도해주다 (구어, mendoakan)	Saya doakan awak menang fansa.	팬싸 당첨 기도.	사야 도아깐 아왁 므낭 판사.	doakan = 기도해주다 (말레이 표준)
l5_d02_t14	5	대화02	B	14	Sama-sama. Aamiin.	서로. 아민.	사마 사마. 아민.	Aamiin = 그러길 (이슬람 기도 응답)	Sama-sama. Aamiin.	서로. 아민.	사마 사마. 아민.	Aamiin = 그러길 (이슬람 기도 응답)
l5_d03_t01	5	대화03	A	1	M Countdown live mulai jam berapa?	M Countdown 라이브 몇 시?	엠 카운트다운 라이브 물라이 잠 브라빠?	mulai = 시작	M Countdown live mula pukul berapa?	M Countdown 몇 시?	엠 카운트다운 라이브 물라 뿌꿀 브라빠?	mula = 시작 (말레이, mulai는 양쪽)
l5_d03_t02	5	대화03	B	2	Jam 5 sore Korea, jam 3 sore Jakarta.	한국 5시, 자카르타 3시.	잠 리마 소레 꼬레아, 잠 띠가 소레 자카르타.	sore = 오후	Pukul 5 petang Korea, pukul 4 petang KL.	한국 5시, KL 4시.	뿌꿀 리마 쁘땅 꼬레아, 뿌꿀 음빳 쁘땅 께엘.	petang = 오후, KST=UTC+9 vs MYT=UTC+8 (1h 차)
l5_d03_t03	5	대화03	A	3	Streaming dimana?	어디서 스트리밍?	스트리밍 디마나?	streaming = 영어 차용	Streaming di mana?	어디서 스트리밍?	스트리밍 디 마나?	streaming = 영어 차용
l5_d03_t04	5	대화03	B	4	Mnet Plus app, atau YouTube.	Mnet Plus 앱, YouTube.	엠넷 플러스 앱, 아따우 유튜브.		Mnet Plus app atau YouTube.	Mnet Plus 앱, YouTube.	엠넷 플러스 앱, 아따우 유튜브.	
l5_d03_t05	5	대화03	A	5	SEVENTEEN comeback hari ini?	SEVENTEEN 컴백 오늘?	세븐틴 컴백 하리 이니?	comeback = 영어 차용	SEVENTEEN comeback hari ini?	SEVENTEEN 컴백 오늘?	세븐틴 컴백 하리 이니?	comeback = 영어 차용
l5_d03_t06	5	대화03	B	6	Iya, lagu baru God of Music.	응, 신곡 God of Music.	이야, 라구 바루 가드 오프 뮤직.	lagu = 노래	Ya, lagu baru God of Music.	응, 신곡 God of Music.	야, 라구 바루 가드 오프 뮤직.	lagu = 노래
l5_d03_t07	5	대화03	A	7	Wah, choreography pasti gila.	안무 미친 듯.	와, 안무 빠스띠 길라.	gila = 미치다	Wah, choreography mesti gila.	안무 미친 듯.	와, 안무 메스띠 길라.	gila = 미치다
l5_d03_t08	5	대화03	B	8	13 member, formation tight.	13명, 포메이션 빡셈.	띠가 블라스 멤버, 포르마시 따잇.		13 member, formation tight.	13명, 포메이션 빡셈.	띠가 블라스 멤버, 포르마시 따잇.	
l5_d03_t09	5	대화03	A	9	Vote daily ya, app Idolchamp.	Idolchamp 매일 투표.	보뜨 데일리 야, 앱 아이돌챔프.	vote = 영어 차용	Vote daily ya, app Idolchamp.	Idolchamp 매일.	보뜨 데일리 야, 앱 아이돌챔프.	vote = 영어 차용
l5_d03_t10	5	대화03	B	10	Aku punya 50 akun.	50계정 있어.	아꾸 뿐야 리마 뿔루 아꾼.	akun = 계정	Saya ada 50 akaun.	50계정 있어.	사야 아다 리마 뿔루 아까운.	akaun = 계정 (말레이 철자, akun은 인니)
l5_d03_t11	5	대화03	A	11	Wah, dedikasi.	와, 헌신.	와, 데디까시.	dedikasi = 헌신	Wah, dedikasi.	와, 헌신.	와, 데디까시.	dedikasi = 헌신
l5_d03_t12	5	대화03	B	12	Carat army harus solid.	캐럿 단결.	캐럿 아르미 하루스 솔리드.	Carat = SEVENTEEN 팬덤명	Carat army kena solid.	캐럿 단결.	캐럿 아르미 끄나 솔리드.	Carat = SEVENTEEN 팬덤명, kena = 해야 (말레이)
l5_d03_t13	5	대화03	A	13	Jangan lupa stream MV juga.	MV 스트리밍도.	장안 루빠 스트림 엠비 주가.	MV = music video	Jangan lupa stream MV juga.	MV 스트리밍.	장안 루빠 스트림 엠비 주가.	MV = music video
l5_d03_t14	5	대화03	B	14	1 juta view in 24 jam target.	24시간 100만뷰.	사뚜 주따 뷰 인 두아 뿔루 음빳 잠 따르겟.	juta = 백만, view = 영어 차용	1 juta view dalam 24 jam target.	24시간 100만뷰.	사뚜 주따 뷰 달람 두아 뿔루 음빳 잠 따르겟.	juta = 백만, dalam = ~안에 (말레이, in은 영어)
l5_d04_t01	5	대화04	A	1	Aku mau ke Korea musim panas.	여름에 한국 가.	아꾸 마우 끄 꼬레아 무심 빠나스.	musim panas = 여름	Saya nak ke Korea musim panas.	여름에 한국 가.	사야 낙 끄 꼬레아 무심 빠나스.	musim panas = 여름
l5_d04_t02	5	대화04	B	2	Kapan? Konser apa?	언제? 무슨 콘서트?	까빤? 콘세르 아빠?		Bila? Konsert apa?	언제? 콘서트?	빌라? 콘세르 아빠?	
l5_d04_t03	5	대화04	A	3	Juli, BTS solo tour Jin.	7월, BTS 진 솔로 투어.	줄리, 베떼에스 솔로 뚜르 진.		Julai, BTS solo tour Jin.	7월, BTS 진 솔로 투어.	줄라이, 베떼에스 솔로 뚜르 진.	Julai = 7월 (말레이 철자, Juli는 인니)
l5_d04_t04	5	대화04	B	4	Aku ikut! Tiket sudah?	나도! 티켓?	아꾸 이꿋! 띠껫 수다?	ikut = 함께 가다	Saya ikut! Tiket dah?	나도! 티켓?	사야 이꿋! 띠껫 다?	ikut = 함께 가다
l5_d04_t05	5	대화04	A	5	Belum, masih lottery.	아직, 추첨 중.	블룸, 마시 로떼리.	lottery = 영어 차용	Belum, masih lottery.	아직, 추첨.	블룸, 마시 로떼리.	lottery = 영어 차용
l5_d04_t06	5	대화04	B	6	Penginapan dimana?	숙소 어디?	쁭이나빤 디마나?	penginapan = 숙소	Penginapan di mana?	숙소 어디?	쁭이나빤 디 마나?	penginapan = 숙소
l5_d04_t07	5	대화04	A	7	Hongdae, dekat venue.	홍대, 공연장 근처.	홍대, 드깟 베뉴.	dekat = 가까이, venue = 영어 차용	Hongdae, dekat venue.	홍대, 공연장 근처.	홍대, 드깟 베뉴.	dekat = 가까이, venue = 영어 차용
l5_d04_t08	5	대화04	B	8	Kuliner Korea pasti.	한식 필수.	꿀리네르 꼬레아 빠스띠.	kuliner = 음식 문화	Makanan Korea mestilah.	한식 필수.	마까난 꼬레아 메스띨라.	makanan = 음식 (말레이, kuliner는 인니)
l5_d04_t09	5	대화04	A	9	Kimchi-jjigae, Korean BBQ, tteokbokki.	김치찌개, 한식 BBQ, 떡볶이.	김치찌개, 코리안 바비큐, 떡볶이.		Kimchi-jjigae, Korean BBQ, tteokbokki.	김치찌개, BBQ, 떡볶이.	김치찌개, 코리안 바비큐, 떡볶이.	
l5_d04_t10	5	대화04	B	10	Halal versi cari ya.	할랄 버전 찾아.	할랄 베르시 짜리 야.	cari = 찾다	Cari versi halal ya.	할랄 버전 찾아.	짜리 베르시 할랄 야.	cari = 찾다
l5_d04_t11	5	대화04	A	11	Iya, ada Itaewon halal restaurant.	응, 이태원 할랄 식당.	이야, 아다 이태원 할랄 레스또란.		Ya, ada Itaewon halal restaurant.	응, 이태원 할랄.	야, 아다 이태원 할랄 레스또란.	
l5_d04_t12	5	대화04	B	12	Berapa hari planning?	며칠 계획?	브라빠 하리 플래닝?	planning = 영어 차용	Berapa hari planning?	며칠?	브라빠 하리 플래닝?	planning = 영어 차용
