row_id	course	dialogue_id	speaker	turn	id_target	id_ko	id_roman	id_note	ms_target	ms_ko	ms_roman	ms_note
l4_d08_t01	4	대화08	B	1	Sunset Kuta beach, the best!	Kuta 일몰 최고!	선셋 꾸따 비치, 더 베스뜨!	sunset = 영어	Sunset Pantai Cenang, terbaik!	Pantai Cenang 일몰 최고!	선셋 빤따이 쯔낭, 뜨르바익!	sunset = 영어, terbaik = 최고
l4_d08_t02	4	대화08	A	2	Wah, langit oranye banget.	와, 하늘 오렌지.	와, 랑잇 오란예 방엣.	langit = 하늘, oranye = 주황	Wah, langit oren gila.	와, 하늘 오렌지.	와, 랑잇 오렌 길라.	langit = 하늘, oren = 주황 (말레이 철자, oranye는 인니)
l4_d08_t03	4	대화08	B	3	Mau coba surfing besok?	내일 서핑 해볼래?	마우 쪼바 서핑 베속?	surfing = 영어	Nak cuba surfing esok?	내일 서핑?	낙 쭈바 서핑 에속?	
l4_d08_t04	4	대화08	A	4	Aku takut. Belum pernah.	무서워. 안 해봤어.	아꾸 따꿋. 블룸 쁘르나.		Saya takut. Belum pernah.	무서워. 안 해봤어.	사야 따꿋. 블룸 쁘르나.	
l4_d08_t05	4	대화08	B	5	Aku ajarin. Ombak kecil.	내가 가르칠게. 파도 작아.	아꾸 아자린. 옴박 끄찔.	ombak = 파도	Saya ajar. Ombak kecil.	가르칠게. 파도 작아.	사야 아자르. 옴박 끄찔.	ombak = 파도
l4_d08_t06	4	대화08	A	6	Kalau gagal aku basah kuyup.	실패하면 흠뻑 젖어.	깔라우 가갈 아꾸 바사 꾸윱.	kuyup = 흠뻑	Kalau gagal saya basah lencun.	실패하면 흠뻑.	깔라우 가갈 사야 바사 른쭌.	lencun = 흠뻑 (말레이, kuyup은 인니)
l4_d08_t07	4	대화08	B	7	Tenang, aku jaga.	괜찮아, 지켜줄게.	뜨낭, 아꾸 자가.	jaga = 지키다	Tenang, saya jaga.	괜찮아, 지켜.	뜨낭, 사야 자가.	jaga = 지키다
l4_d08_t08	4	대화08	A	8	Oke, percaya kamu.	OK, 너 믿어.	오께, 쁘르짜야 까무.	percaya = 믿다	Okay, percaya awak.	OK, 너 믿어.	오케이, 쁘르짜야 아왁.	percaya = 믿다
l4_d09_t01	4	대화09	A	1	Aku post foto Ubud di Instagram!	Ubud 사진 IG 올렸어!	아꾸 포스뜨 포또 우붓 디 인스타그램!	Instagram = 영어	Saya post foto Cameron di Instagram!	Cameron 사진 IG!	사야 포스뜨 포또 카메론 디 인스타그램!	
l4_d09_t02	4	대화09	B	2	Tag aku ya?	태그?	딱 아꾸 야?	tag = 영어	Tag saya ya?	태그?	딱 사야 야?	tag = 영어
l4_d09_t03	4	대화09	A	3	Pasti! Username kamu apa?	꼭! 유저네임?	빠스띠! 유저네임 까무 아빠?	username = 영어	Mestilah! Username awak apa?	꼭! 유저네임?	메스띨라! 유저네임 아왁 아빠?	username = 영어
l4_d09_t04	4	대화09	B	4	@andi_bali_guide.	@andi_bali_guide.	앳 안디 발리 가이드.		@aiman_langkawi_guide.	@aiman_langkawi_guide.	앳 아이만 랑까위 가이드.	
l4_d09_t05	4	대화09	A	5	Followed! Caption apa bagus?	팔로우! 캡션 뭐?	팔로우! 캡션 아빠 바구스?	caption = 영어	Followed! Caption apa bagus?	팔로우! 캡션?	팔로우! 캡션 아빠 바구스?	caption = 영어
