row_id	course	dialogue_id	speaker	turn	id_target	id_ko	id_roman	id_note	ms_target	ms_ko	ms_roman	ms_note
l5_d18_t09	5	대화18	A	9	Hahaha, anak-anak akan suka.	하하, 아이들 좋아할 듯.	하하하, 아낙 아낙 아깐 수까.		Hahaha, anak-anak akan suka.	아이들 좋아할.	하하하, 아낙 아낙 아깐 수까.	
l5_d18_t10	5	대화18	B	10	Plus mainan baru.	+ 새 장난감.	플러스 마이난 바루.	mainan = 장난감	Plus mainan baru.	+ 새 장난감.	플러스 마이난 바루.	mainan = 장난감
l5_d18_t11	5	대화18	A	11	Sweet kamu. Sabtu ini ya.	sweet. 이번 토.	스윗 까무. 삽뚜 이니 야.		Sweet awak. Sabtu ni ya.	sweet.	스윗 아왁. 삽뚜 니 야.	
l5_d18_t12	5	대화18	B	12	Pasti, jam berapa?	꼭, 몇 시?	빠스띠, 잠 브라빠?		Mestilah, pukul berapa?	꼭, 몇 시?	메스띨라, 뿌꿀 브라빠?	
l5_d19_t01	5	대화19	A	1	Mau hiking Gede Pangrango weekend?	Gede Pangrango 등산 주말?	마우 하이킹 그데 빵랑오 위켄드?	hiking = 영어	Nak hiking Gunung Tahan weekend?	Tahan 등산?	낙 하이킹 구눙 따한 위켄드?	Gunung Tahan = Pahang 최고봉 2187m (Gede Pangrango는 자바)
l5_d19_t02	5	대화19	B	2	Tinggi berapa?	높이?	띵기 브라빠?		Tinggi berapa?	높이?	띵기 브라빠?	
l5_d19_t03	5	대화19	A	3	2958m. Susah tapi worth it.	2958m. 어렵지만 worth it.	두아 리부 슴빌란 라뚜스 리마 뿔루 들라빤 메떠르. 수사 따삐 워스 잇.		2187m. Susah tapi berbaloi.	2187m.	두아 리부 스라뚜스 라빤 뿔루 뚜주 메떠르. 수사 따삐 브르발로이.	
l5_d19_t04	5	대화19	B	4	Sunrise dari puncak gimana?	정상 일출?	선라이즈 다리 뿐짝 기마나?	puncak = 정상	Sunrise dari puncak macam mana?	정상 일출?	선라이즈 다리 뿐짝 마짬 마나?	puncak = 정상
l5_d19_t05	5	대화19	A	5	Spektakuler. Awan dibawah.	경이로움. 구름 아래.	스뻭따꿀러르. 아완 디바와.	awan = 구름	Spektakular. Awan di bawah.	경이로움.	스뻭따꿀라르. 아완 디 바와.	awan = 구름
l5_d19_t06	5	대화19	B	6	Bawa apa?	뭘 가져가?	바와 아빠?		Bawa apa?	뭘?	바와 아빠?	
l5_d19_t07	5	대화19	A	7	Tenda + sleeping bag + headlamp.	텐트 + 침낭 + 헤드램프.	뜬다 + 슬리핑 백 + 헤드램프.	tenda = 텐트	Khemah + sleeping bag + headlamp.	텐트.	케마 + 슬리핑 백 + 헤드램프.	khemah = 텐트 (말레이 철자, tenda는 인니)
l5_d19_t08	5	대화19	B	8	Camping dimana?	캠핑 어디?	캠핑 디마나?		Camping di mana?	어디?	캠핑 디 마나?	
l5_d19_t09	5	대화19	A	9	Surya Kencana, padang savana.	Surya Kencana, 사바나.	수르야 끈짜나, 빠당 사바나.	padang savana = 사바나 평원	Padang Pasir, dataran luas.	Padang Pasir, 평원.	빠당 빠시르, 다따란 루아스.	Padang Pasir = Gunung Tahan 평원 (Surya Kencana는 Gede), dataran = 평지
l5_d19_t10	5	대화19	B	10	Wah, kayak Africa.	와, 아프리카 같음.	와, 까야 아프리카.		Wah, macam Africa.	아프리카.	와, 마짬 아프리카.	
l5_d19_t11	5	대화19	A	11	Cuaca dingin malam, 5 derajat.	밤 5도, 추워.	쭈아짜 딩인 말람, 리마 드라잣.		Cuaca sejuk malam, 5 darjah.	밤 5도.	쭈아짜 스죽 말람, 리마 다르자.	
l5_d19_t12	5	대화19	B	12	Aku siap jaket double.	잠바 더블.	아꾸 시압 자껫 더블.		Saya sedia jaket double.	잠바.	사야 스디아 자껫 더블.	
l5_d20_t01	5	대화20	A	1	Hari ini photowalk Kota Tua?	오늘 Kota Tua 포토워크?	하리 이니 포또워크 꼬따 뚜아?	photowalk = 영어	Hari ni photowalk Georgetown Penang?	Georgetown Penang 포토워크?	하리 니 포또워크 죠지타운 뻬낭?	photowalk = 영어, Georgetown = Penang UNESCO 옛 시가지 (Kota Tua는 자카르타)
l5_d20_t02	5	대화20	B	2	Boleh! Aku bawa kamera mirrorless.	응! 미러리스.	볼레! 아꾸 바와 까메라 미러리스.	mirrorless = 영어	Boleh! Saya bawa kamera mirrorless.	미러리스.	볼레! 사야 바와 까메라 미러리스.	mirrorless = 영어
l5_d20_t03	5	대화20	A	3	Aku pakai lensa fix 35mm.	35mm 단렌즈.	아꾸 빠까이 렌사 픽스 띠가 뿔루 리마 메메.	lensa = 렌즈	Saya pakai lensa fix 35mm.	35mm.	사야 빠까이 렌사 픽스 띠가 뿔루 리마 메메.	lensa = 렌즈
l5_d20_t04	5	대화20	B	4	Tema apa hari ini?	오늘 테마?	떼마 아빠 하리 이니?		Tema apa hari ni?	테마?	떼마 아빠 하리 니?	
l5_d20_t05	5	대화20	A	5	Kontras kolonial vs modern.	식민지 vs 모던 대비.	꼰트라스 꼴로니알 vs 모데른.	kontras = 대비	Kontras kolonial vs moden.	식민지 vs 모던.	꼰트라스 꼴로니알 vs 모덴.	kontras = 대비, moden = 모던 (말레이 철자, modern은 영어)
l5_d20_t06	5	대화20	B	6	Setting kamera apa cocok?	카메라 셋팅?	세팅 까메라 아빠 쪼쪽?		Setting kamera apa sesuai?	셋팅?	세팅 까메라 아빠 스수아이?	
l5_d20_t07	5	대화20	A	7	Aperture besar, biar bokeh.	조리개 크게, 보케.	어퍼춰 브사르, 비아르 보께.	aperture = 영어, bokeh = 영어	Aperture besar, supaya bokeh.	조리개.	어퍼춰 브사르, 수빠야 보께.	aperture = 영어, bokeh = 영어
l5_d20_t08	5	대화20	B	8	Aku belajar editing Lightroom.	Lightroom 편집 공부.	아꾸 블라자르 에디팅 라이트룸.	editing = 영어	Saya belajar editing Lightroom.	Lightroom.	사야 블라자르 에디팅 라이트룸.	editing = 영어
l5_d20_t09	5	대화20	A	9	Mantap! Sharing tips ya.	좋다! tips 공유.	만땁! 셰어링 띱스 야.	tips = 영어	Best! Kongsi tips ya.	좋다! tips.	베스! 콩시 띱스 야.	kongsi = 공유 (말레이, sharing은 영어), tips = 영어
l5_d20_t10	5	대화20	B	10	Pasti. Aku ada preset moody.	응. moody preset.	빠스띠. 아꾸 아다 프리셋 무디.	preset = 영어	Mestilah. Saya ada preset moody.	moody preset.	메스띨라. 사야 아다 프리셋 무디.	preset = 영어
l5_d20_t11	5	대화20	A	11	Setelah hunting, kopi di Batavia.	사진 후 Batavia 커피.	스뜰라 헌팅, 꼬삐 디 바따비아.	hunting = 영어	Selepas hunting, kopi di China House.	사진 후 China House.	슬르빠스 헌팅, 꼬삐 디 차이나 하우스.	China House = Georgetown 명소 (Batavia는 Kota Tua), hunting = 영어
l5_d20_t12	5	대화20	B	12	Mantap, antik vibe.	좋다, 앤틱 분위기.	만땁, 안띡 바이브.		Best, antik vibe.	앤틱.	베스, 안띡 바이브.	
l5_d21_t01	5	대화21	A	1	Aku mau coba bikin kimchi sendiri.	김치 직접.	아꾸 마우 쪼바 비낀 김치 슨디리.	bikin = 만들다 (구어)	Saya nak cuba buat kimchi sendiri.	김치 직접.	사야 낙 쭈바 부앗 김치 슨디리.	buat = 만들다 (말레이, bikin은 인니 구어)
l5_d21_t02	5	대화21	B	2	Wah, ribet kah?	와, 까다로워?	와, 리벳 까?	ribet = 까다로운	Wah, menyusahkan ke?	까다로워?	와, 므뉴사깐 끄?	menyusahkan = 까다로운 (말레이, ribet은 인니)
l5_d21_t03	5	대화21	A	3	Awal ribet, tapi belajar dari YouTube.	초반 까다, YouTube 보고.	아왈 리벳, 따삐 블라자르 다리 유튜브.		Awal susah, tapi belajar dari YouTube.	초반.	아왈 수사, 따삐 블라자르 다리 유튜브.	
l5_d21_t04	5	대화21	B	4	Bahan dimana beli?	재료 어디?	바한 디마나 블리?		Bahan beli di mana?	재료?	바한 블리 디 마나?	
l5_d21_t05	5	대화21	A	5	Lottemart, gochugaru complete.	Lottemart, 고추가루 다.	롯데마트, 고추가루 컴플리트.	gochugaru = 한국어	Tower Records, gochugaru lengkap.	Tower Records.	타워 레코즈, 고추가루 릉깝.	Tower Records = KL 한국 식료품점 (Lottemart는 자카르타), gochugaru = 한국어, lengkap = 완비
l5_d21_t06	5	대화21	B	6	Berapa lama fermentasi?	발효 얼마?	브라빠 라마 페르멘따시?	fermentasi = 발효	Berapa lama fermentasi?	발효?	브라빠 라마 페르멘따시?	fermentasi = 발효
l5_d21_t07	5	대화21	A	7	3 hari di kulkas.	냉장 3일.	띠가 하리 디 꿀까스.	kulkas = 냉장고	3 hari di peti sejuk.	냉장 3일.	띠가 하리 디 쁘띠 스죽.	peti sejuk = 냉장고 (말레이, kulkas는 인니)
