row_id	course	dialogue_id	speaker	turn	id_target	id_ko	id_roman	id_note	ms_target	ms_ko	ms_roman	ms_note
l6_d32_t09	6	대화32	A	9	Pasti, sambil cerita seharian.	하루 얘기하며.	빠스띠, 삼빌 쩨리따 스하리안.	sambil = ~하면서	Mestilah, sambil bercerita seharian.	하루 얘기하며.	메스띨라, 삼빌 브르쩨리따 스하리안.	sambil = ~하면서, bercerita = 이야기하다
l6_d32_t10	6	대화32	B	10	Aku cinta kamu, hati-hati di jalan.	사랑해, 조심.	아꾸 친따 까무, 하띠 하띠 디 잘란.		Saya cinta awak, hati-hati di jalan.	사랑해, 조심.	사야 친따 아왁, 하띠 하띠 디 잘란.	
l6_d33_t01	6	대화33	A	1	Punggung aku sakit.	등 아파.	뿡궁 아꾸 사낏.	sakit = 아프다	Belakang saya sakit.	등 아파.	블라깡 사야 사낏.	belakang = 등, sakit = 아프다
l6_d33_t02	6	대화33	B	2	Aku pijat ya.	마사지.	아꾸 삐잣 야.	pijat = 마사지	Saya urut ya.	마사지.	사야 우룻 야.	urut = 마사지하다 (말레이, pijat은 인니/공통)
l6_d33_t03	6	대화33	A	3	Tekan lebih kuat.	더 세게.	뜨깐 르비 꾸앗.	tekan = 누르다, kuat = 세게	Tekan lebih kuat.	더 세게.	뜨깐 르비 꾸앗.	tekan = 누르다, kuat = 세게
l6_d33_t04	6	대화33	B	4	Otot kamu kencang banget.	근육 빡셈.	오똣 까무 끈짱 방엣.	otot = 근육, kencang = 빡빡한	Otot awak ketat sangat.	근육 빡셈.	오똣 아왁 끄땃 상앗.	otot = 근육, ketat = 빡빡한 (말레이, kencang은 양쪽)
l6_d33_t05	6	대화33	A	5	Karena stres kerja.	일 스트레스.	까르나 스트레스 끄르자.		Sebab stres kerja.	일 스트레스.	스밥 스트레스 끄르자.	
l6_d33_t06	6	대화33	B	6	Pakai lotion?	로션?	빠까이 로숀?	lotion = 영어 차용	Pakai losyen?	로션?	빠까이 로숀?	losyen = 로션 (말레이 철자, lotion은 영어)
l6_d33_t07	6	대화33	A	7	Iya, yang lavender.	라벤더.	이야, 양 라벤더.		Ya, yang lavender.	라벤더.	야, 양 라벤더.	
l6_d33_t08	6	대화33	B	8	Sambil dengar musik tenang.	차분 음악.	삼빌 등아르 무식 뜨낭.		Sambil dengar muzik tenang.	차분 음악.	삼빌 등아르 무직 뜨낭.	
l6_d33_t09	6	대화33	A	9	Aku tertidur kalau gini.	이러면 잠들어.	아꾸 뜨르띠두르 깔라우 기니.	tertidur = 잠들다	Saya tertidur kalau macam ni.	이러면 잠들어.	사야 뜨르띠두르 깔라우 마짬 니.	tertidur = 잠들다
l6_d33_t10	6	대화33	B	10	Tidur saja, aku lanjut.	자, 나 계속.	띠두르 사자, 아꾸 란줏.	lanjut = 계속	Tidur je, saya teruskan.	자, 계속.	띠두르 즈, 사야 뜨루스깐.	teruskan = 계속하다 (말레이, lanjut도 양쪽)
l6_d34_t01	6	대화34	A	1	Bintangnya banyak malam ini.	별 많아.	빈땅냐 바냑 말람 이니.	bintang = 별	Bintangnya banyak malam ini.	별 많아.	빈땅냐 바냑 말람 이니.	bintang = 별
l6_d34_t02	6	대화34	B	2	Cantik banget.	예쁘다.	짠띡 방엣.		Cantik gila.	예쁘다.	짠띡 길라.	
l6_d34_t03	6	대화34	A	3	Aku duduk lebih dekat.	가까이 앉아.	아꾸 두둑 르비 드깟.	duduk = 앉다	Saya duduk lebih dekat.	가까이.	사야 두둑 르비 드깟.	duduk = 앉다
l6_d34_t04	6	대화34	B	4	Hangat seperti ini.	이렇게 따뜻.	항앗 스쁘르띠 이니.	seperti = ~처럼	Hangat macam ni.	이렇게 따뜻.	항앗 마짬 니.	macam ni = 이렇게 (말레이 구어)
l6_d34_t05	6	대화34	A	5	Apa yang kamu pikirin?	뭐 생각?	아빠 양 까무 삐끼린?	pikirin = 생각하다	Apa yang awak fikir?	뭐 생각?	아빠 양 아왁 피끼르?	fikir = 생각하다 (말레이 철자)
l6_d34_t06	6	대화34	B	6	Masa depan kita.	우리 미래.	마사 드빤 끼따.	masa depan = 미래	Masa depan kita.	우리 미래.	마사 드빤 끼따.	masa depan = 미래
l6_d34_t07	6	대화34	A	7	Apa yang mau kamu?	원하는 건?	아빠 양 마우 까무?		Apa yang awak nak?	원하는 건?	아빠 양 아왁 낙?	
l6_d34_t08	6	대화34	B	8	Hanya kamu.	너만.	하냐 까무.	hanya = 만	Hanya awak.	너만.	하냐 아왁.	hanya = 만
l6_d34_t09	6	대화34	A	9	Aku sudah jadi punya kamu.	이미 네 것.	아꾸 수다 자디 뿐야 까무.	punya = 가지다	Saya dah jadi milik awak.	이미 네 것.	사야 다 자디 밀릭 아왁.	milik = 소유 (말레이, punya는 양쪽)
l6_d34_t10	6	대화34	B	10	Selalu, sayang.	언제나, 자기.	슬랄루, 사양.	selalu = 언제나, sayang = 애칭	Selalu, sayang.	언제나, 자기.	슬랄루, 사양.	selalu = 언제나, sayang = 애칭
l6_d35_t01	6	대화35	A	1	Hujan deras banget.	비 매우.	후잔 드라스 방엣.	deras = 거센 (비)	Hujan lebat sangat.	비 매우.	후잔 르밧 상앗.	lebat = 거센 (말레이, deras는 양쪽)
l6_d35_t02	6	대화35	B	2	Nggak usah keluar.	안 나가도.	응각 우사 끌루아르.		Tak payah keluar.	안 나가도.	딱 빠야 끌루아르.	tak payah = 필요 없다 (말레이)
l6_d35_t03	6	대화35	A	3	Kita di kasur seharian.	침대 하루.	끼따 디 까수르 스하리안.	kasur = 침대 매트, seharian = 하루 종일	Kita di katil seharian.	침대 하루.	끼따 디 까띨 스하리안.	katil = 침대 (말레이, kasur는 인니), seharian = 하루 종일
l6_d35_t04	6	대화35	B	4	Mau order makanan?	음식 주문?	마우 오르더 마까난?	order = 영어 차용	Nak order makanan?	음식 주문?	낙 오르더 마까난?	order = 영어 차용
l6_d35_t05	6	대화35	A	5	Iya, sambil nonton drama Korea.	드라마 보면서.	이야, 삼빌 논똔 드라마 꼬레아.	nonton = menonton 구어	Ya, sambil tonton drama Korea.	드라마 보면서.	야, 삼빌 똔똔 드라마 꼬레아.	tonton = 보다 (말레이, nonton은 인니 구어)
l6_d35_t06	6	대화35	B	6	Pakai selimut sama-sama.	이불 같이.	빠까이 슬리뭇 사마 사마.	selimut = 이불, sama-sama = reduplication 같이	Pakai selimut sama-sama.	이불 같이.	빠까이 슬리뭇 사마 사마.	selimut = 이불, sama-sama = 같이
l6_d35_t07	6	대화35	A	7	Pelukmu hangat banget.	안기 따뜻.	쁠룩무 항앗 방엣.		Pelukan awak hangat sangat.	안기 따뜻.	쁠루깐 아왁 항앗 상앗.	
l6_d35_t08	6	대화35	B	8	Aku cinta hari seperti ini.	이런 날 사랑.	아꾸 친따 하리 스쁘르띠 이니.		Saya cinta hari macam ni.	이런 날 사랑.	사야 친따 하리 마짬 니.	
l6_d35_t09	6	대화35	A	9	Tanpa rencana, hanya kita.	계획 없이, 우리만.	딴빠 른짜나, 하냐 끼따.		Tanpa rancangan, hanya kita.	계획 없이, 우리만.	딴빠 란짱안, 하냐 끼따.	
l6_d35_t10	6	대화35	B	10	Surga.	천국.	수르가.	surga = 천국	Syurga.	천국.	슈르가.	syurga = 천국 (말레이 철자, surga는 인니)
l6_d36_t01	6	대화36	B	1	Hari ini setahun, oppa.	오빠, 오늘 1년.	하리 이니 스따훈, 오빠.	oppa = 오빠 (한국어 차용)	Hari ini setahun, oppa.	오빠, 1년.	하리 이니 스따훈, 오빠.	oppa = 오빠 (한국어 차용)
l6_d36_t02	6	대화36	A	2	Cepat banget.	빠르네.	쯔빳 방엣.		Cepat gila.	빠르네.	쯔빳 길라.	
l6_d36_t03	6	대화36	B	3	Aku punya hadiah.	선물.	아꾸 뿐야 하디아.	hadiah = 선물	Saya ada hadiah.	선물.	사야 아다 하디아.	hadiah = 선물
l6_d36_t04	6	대화36	A	4	Apa?	뭐?	아빠?		Apa?	뭐?	아빠?	
l6_d36_t05	6	대화36	B	5	Album foto kita setahun ini.	1년 사진 앨범.	알붐 포또 끼따 스따훈 이니.		Album foto kita setahun ni.	1년 앨범.	알붐 포또 끼따 스따훈 니.	
l6_d36_t06	6	대화36	A	6	Wah, romantis banget.	로맨틱.	와, 로맨띠스 방엣.		Wah, romantik gila.	로맨틱.	와, 로맨띠스 길라.	
l6_d36_t07	6	대화36	B	7	Setiap halaman cerita.	각 페이지 이야기.	스띠압 할라만 쩨리따.	halaman = 페이지	Setiap muka surat cerita.	각 페이지 이야기.	스띠압 무까 수랏 쩨리따.	muka surat = 페이지 (말레이, halaman은 양쪽)
l6_d36_t08	6	대화36	A	8	Aku juga punya untuk kamu.	나도 있어.	아꾸 주가 뿐야 운뚝 까무.		Saya pun ada untuk awak.	나도 있어.	사야 뿐 아다 운뚝 아왁.	
l6_d36_t09	6	대화36	B	9	Apa?	뭐?	아빠?		Apa?	뭐?	아빠?	
l6_d36_t10	6	대화36	A	10	Cincin kedua, simbol selamanya.	두 번째 반지, 영원.	찐찐 끄두아, 심볼 슬라마냐.	cincin = 반지, selamanya = 영원히	Cincin kedua, simbol selamanya.	두 번째 반지, 영원.	찐찐 끄두아, 심볼 슬라마냐.	cincin = 반지, selamanya = 영원히
l6_d36_t11	6	대화36	B	11	Aku menangis.	울어.	아꾸 므낭이스.	menangis = 울다	Saya menangis.	울어.	사야 므낭이스.	menangis = 울다
l6_d36_t12	6	대화36	A	12	Air mata bahagia.	행복 눈물.	아이르 마따 바하기아.	air mata = 눈물	Air mata bahagia.	행복 눈물.	아이르 마따 바하기아.	air mata = 눈물
l6_d36_t13	6	대화36	B	13	Kita selalu seperti ini ya.	이렇게 늘.	끼따 슬랄루 스쁘르띠 이니 야.		Kita selalu macam ni ya.	이렇게 늘.	끼따 슬랄루 마짬 니 야.	
l6_d36_t14	6	대화36	A	14	Aku janji.	약속.	아꾸 잔지.		Saya janji.	약속.	사야 잔지.	
l5_d05_t01	5	대화05	B	1	BTS album baru Layover udah dengar?	BTS 새 앨범 Layover 들었어?	베떼에스 알붐 바루 레이오버 우다 등아르?	album = 영어 차용	BTS album baru Layover dah dengar?	Layover 들었어?	베떼에스 알붐 바루 레이오버 다 등아르?	album = 영어 차용
l5_d05_t02	5	대화05	A	2	Layover? Belum dengar. Sama kamu senang ya.	Layover? 못 들었어. 너랑 있으니 좋네.	레이오버? 블룸 등아르. 사마 까무 스낭 야.		Layover? Belum dengar. Dengan awak best je.	Layover? 못 들었어. 너랑 좋아.	레이오버? 블룸 등아르. 등안 아왁 베스 즈.	
l5_d05_t03	5	대화05	B	3	Lirik Stand by Me artinya apa?	Stand by Me 가사 의미?	리릭 스탠 바이 미 아르띠냐 아빠?	lirik = 가사	Lirik Stand by Me maksudnya apa?	Stand by Me 가사?	리릭 스탠 바이 미 막수드냐 아빠?	lirik = 가사
l5_d05_t04	5	대화05	A	4	Lirik? Hmm, dengar langsung lebih jelas.	가사? 음, 직접 들으면 더 명확.	리릭? 흠, 등아르 랑숭 르비 즐라스.	langsung = 직접	Lirik? Hmm, dengar terus lebih jelas.	가사? 직접 들으면.	리릭? 흠, 등아르 뜨루스 르비 즐라스.	terus = 직접 (말레이, langsung은 양쪽)
