row_id	course	dialogue_id	speaker	turn	id_target	id_ko	id_roman	id_note	ms_target	ms_ko	ms_roman	ms_note
l2_d16_t01	2	대화16	A	1	Lama nggak ketemu!	오랜만이야!	라마 응각 끄뜨무!	nggak = tidak 구어	Lama tak jumpa!	오랜만이야!	라마 딱 줌빠!	tak = tidak (말레이 구어)
l2_d16_t02	2	대화16	B	2	Iya, kamu apa kabar?	응, 잘 지내?	이야, 까무 아빠 까바르?		Ya, awak apa khabar?	응, 잘 지내?	야, 아왁 아빠 카바르?	
l2_d16_t03	2	대화16	A	3	Baik. Kerja gimana?	좋아. 일은?	바익. 끄르자 기마나?		Baik. Kerja macam mana?	좋아. 일은?	바익. 끄르자 마짬 마나?	
l2_d16_t04	2	대화16	B	4	Sibuk banget. Macet pula.	엄청 바빠. 길도 막혀.	시북 방엣. 마쩻 뿔라.	macet = 막히다	Sibuk gila. Jam pula.	엄청 바빠. 길도 막혀.	시북 길라. 잠 뿔라.	jam = 막히다 (말레이 영어 차용), gila = 매우
l2_d16_t05	2	대화16	A	5	Jakarta begitu.	자카르타가 그렇지.	자카르타 브기뚜.		KL macam tu.	KL이 그렇지.	께엘 마짬 뚜.	
l2_d16_t06	2	대화16	B	6	Pengen pindah, sih.	이사 가고 싶어.	쁭엔 삔다, 시.	pengen = 원하다 (구어)	Nak pindah la.	이사 가고 싶어.	낙 삔다 라.	nak = 원하다 (말레이 구어, mahu), la = 어조사
l2_d16_t07	2	대화16	A	7	Ke mana?	어디로?	끄 마나?		Ke mana?	어디로?	끄 마나?	
l2_d16_t08	2	대화16	B	8	Bali, kerja remote.	발리, 재택근무.	발리, 끄르자 리못.		Penang, kerja remote.	페낭, 재택근무.	뻬낭, 끄르자 리못.	
l2_d16_t09	2	대화16	A	9	Asyik banget itu.	대박이네.	아식 방엣 이뚜.	asyik = 멋진/즐거운	Best gila tu.	대박이네.	베스 길라 뚜.	best = 멋진 (말레이 구어, 영어 차용)
l2_d16_t10	2	대화16	B	10	Doain ya.	응원해줘.	도아인 야.	doain = 기도해주다	Doakan saya ya.	응원해줘.	도아깐 사야 야.	doakan = 기도해주다 (말레이 표준)
l2_d17_t01	2	대화17	A	1	Halo Ibu, apa kabar?	엄마, 잘 지내?	할로 이부, 아빠 까바르?	Ibu = 어머니/부인 (격식)	Helo Mak, apa khabar?	엄마, 잘 지내?	헬로 막, 아빠 카바르?	Mak = 엄마 (말레이 친근), Ibu/Emak = 격식
